treatment_name,liquid_available,odt_available,first_author,doi,commercial_affiliation,publication_date,journal,study_type,duration,sample_size,gender_ratio,age_range,dose_range,primary_outcome_area,primary_outcome_measures,primary_results,secondary_outcome_area,secondary_outcome_measures,secondary_results,side_effects,safety_rating,dropout_rate,race_ethnicity,notes,sequence_generation_bias,allocation_concealment_bias,outcome_assessor_blinding_bias,clinician_blinding_bias,attrition_bias,reporting_bias,bias_notes
Memantine + Risperidone,Yes (memantine peppermint) ,,"Ghaleiha, Ali",https://doi.org/10.1017/S1461145712000880,None. ,5/1/2013,International Journal of Neuropsychopharmacology,Randomized Double-blind Placebo Controlled ,10 weeks,40,23 M: 17 F,4-12 y; mean: ~7.5 y,"risperidone- 2 mg/d & memantine- max: 15 mg/d for pt 10-40 kg, 20 mg/d for pt 40 kgo, or + placebo",Irritability,ABC-C Irritability,Significantly greater reduction in irritability scores in memantine tx group than placebo.,"Lethargy/social withdrawal, stereotypy, and hyperactivity/noncompliance",ABC-C: all other subscales. ,Significantly greater reduction in scores for hyperactivity and stereotypic bx.,Well tolerated. No differences in extrapyramidal symptom type or frequency between the two tx groups. ,,None,,https://academic.oup.com/ijnp/article/16/4/783/790133,,Medications were dispensed by the investigational drug pharmacist. ,,,,,
Memantine,,,"Valluripalli Soorya, Latha",10.1089/cap.2021.0010,,,Journal of Child and Adolescent Psychopharmacology,RCT - pilot,24 weeks,23,,6-12 y,,Neurocognitive effects,measures of apraxia and expressive language,No improvements in apraxia or expressive language.,"Neurocognitive measures (memory, adaptive behavior, overall cognitive functioning)",Narrative Memory-Recognition; ABC,Memantine treatment associated with improvement in verbal recognition memory and verbal IQ.,,,n=9,,,,,,,,,
Memantine ER,Yes (peppermint),,"Aman, Michael",,"Forest/Allergan, Shire, Bristol-Myers Squibb, BioMarin pharmaceuticals. ",2015,Journal of Child and Adolescent Psychopharmacology,Randomized Double-blind Placebo Controlled  ,12 weeks ,121,101 M: 20 F,6-12 years; Mean: 9 years,3-15 mg/d (based on body weight),Social behaviors. ,SRS total raw score,No significant differences between memantine and placebo tx groups.,,CATS-I total score and subscales; CCC-2; ,No significant differences in CATS-I or CCC-2 scores. ,"All treatment emergent AEs were mild to moderate severity, except for 3 in the memantine tx group (irritability, affective disorder, and choking).",One serious AE (mood/affective disorder) in memantine group unrelated to tx. ,n=17 (3 due to AE in memantine group),99 White; 11 Asian; 4 Black; 7 Other,,,,,,,,
Metformin hydrochloride (Riomet),Yes,,"Anagnastou, E",10.1001/jamapsychiatry.2016.1232,,August 2016,JAMA Psychiatry,Randomized Double-blind Placebo Controlled  ,16 weeks,60,45 M: 15 F,6-17 y; M= 12.8 y (SD: 2.7),500 mg BID for 6-9 y (M: 1000 mg/d); 800 mg BID for 10-17 y (M:1587 mg/d),Treatment of weight gain from atypical antipsychotic use,BMI z score,Metformin was superior to placebo in reducing weight gain. 11% of metformin treatment participants had 8-9% declines in BMI. ,Changes in body composition and metabolic variables,"Body variables: absolute and relative change in weight, absolute BMI, abdominal and hip circumference; fasting metabolic variables ",No significant changes in metabolic variables for metformin or placebo groups. ,"Abnormal feces, increase in GI AEs. ",No serious AEs related to the study drug,n=7 (5 metformin),4 Asian; 4 black or African; 50 white; 2 other/multiracial,"51 participants were obese, 8 overweight, 1 normal weight. Most participants were taking aripiprazole (23) or risperidone (31). https://jamanetwork.com/journals/jamapsychiatry/article-abstract/2546510",Low risk - Randomization conducted using permuted blocks stratified by age group and random block sizes.,"Low risk - Metformin and placebo dispensed as liquid that matched in appearance, smell, and taste",Low risk - All treatment was double blinded. ,Low risk - All treatment was double blinded,Low risk - All baseline and endpoint data reported. ,Low risk - All baseline and endpoint data reported. ,autogenerated randomization ID email sent to site once pt enrolled
Methylphenidate,"Yes (grape, banana)","Chewable tablets (cherry, grape)","Aman, Michael; RUPP",,,"March 29, 2005",Arch Gen Psychiatry,RPCT - Crossover,"13 weeks. 1-wk test-dose phase, 4-wk randomized, placebo-controlled, double blind crossover phase, and 8-wk open-label continuation.",66,59 M: 7 F,5-14 y ,Weight-dependent dosing -  Low dose: 2.5-5.0 mg TID; Mediium dose: 2.5-10.0 mg TID; high dose: 5.0-20.0 TID. See note for more info on dosage.,Hyperactivity,Teacher-rated hyperactivity subscale of ABC,Methylphenidate was superior to placebo on improvements in the primary outcome measure with small to medium effect sizes (0.20-0.54),"Hyperactivity, stereotypy, inappropriate speech, lethargy/social withdrawal.","Parent-rated ABC hyperactivity subscale, and other ABC subscales; rate of 'responders' (classified by much/very improved on CGI-I and 30% decrease in ABC hyperactivity scores)",Significant main effect on parent-rated ABC hyperactivity scale scores (F=6.10; P<.001). Parent-rated lethargy/social withdrawal subscale scores were significantly worse than placebo. Improvements in stereotypy and inappropriate speech at medium dosage. 49% of subjects were responders.,"Common side effects included decreased appetite, difficulty falling asleep, irritability, and outbursts. Intolerable AEs did lead to 7 dropouts.",,"n=7 (3 high dose, 3 medium dose, 1 low dose)",48 white; 9 black/African American; 6 Asian; 3 Hispanic or Latino,"Methylphenidate dosing based on weight. The mean weight of pts was 30.4 kg (SD: 14.3 kg). Doses were administered 3 times per day (8 am, 12 pm, 4 pm). Low dose - 0.125 mg/kg, medium dose - 0.250 mg/kd, high dose - 0.500 mg/kg, per dose. ""Methylphenidate was consistently more efficacious in improving inattention, distractability, hyperactivity, and impulsivity than placebo was, as rated by the ABC hyperactivity scale... small to medium magnitude of response.""","High/unclear risk -  Centrally generated randomization that was balanced by site. There were 2 exceptions to the complete randomized design. ""subjects who could not tolerate the high dosage of methylphenidate received the medium dose twice... and the high dose could not follow the placebo...""",Unclear risk- Method of allocation not reported.,"Unclear risk- Medication form, taste, and color not reported. Methylphenidate and placebo capsules were compounded by an FDA approved pharmacy at the University of Iowa, and shipped to an investigational pharmacist at each site. ","Low risk - Clinicians, patients, and caregiver were blinded to treatment assignment. Prescribing and rating clinician were kept blind to possible treatment related AEs.",Unclear risk - CGI-I scores not reported.,"Unclear risk - All parent-rated and teacher-rated ABC scores and effect sizes were noted. Including, the worsening of lethargy/social withdrawal. No CGI-I scores.","49% of methylphenidate tx participants were rated as responders, though the CGI-I scores and other ABC subscale scores were not reported. The only quantitative data to support the respondent claim would be the ABC hyperactivity scores."
Methylphenidate,"Yes (grape, banana)","Chewable tablets (cherry, grape)","Handen, BL",PUBMED: 11055460,No conflicts of interest,2000,Journal of Autism & Developmental Disorders,"double-blind, randomized, placebo-controlled, cross-over",3 weeks,13,10 M: 3 F,5.6-11.2 y (m: 7.4 y),0.3 mg/kg and 0.6 mg/kg 2-3x per day,Hyperactivity,Conners' Teacher Rating Scale (CTRS); IOWA Conners' Teacher Rating Scale ,,Severity,CARS; ABC,,,,n=1,7 African American; 4 white; 2 Latino,,Unclear risk - method of sequence generation not described,unclear risk - method of concealment not reported,low risk - All outcome assessors blinded,"unclear risk - All parents and participants were blinded. However, it was not reported if participants had taken methylphenidate before.",Unclear risk - Assessment measures data not reported. ,"High risk - Parent rated questionnaires were not reported, only teacher rated assessments.",
Methylphenidate,"Yes (grape, banana)","Chewable tablets (cherry, grape)","Pearson, DA",https://doi.org/10.1089/cap.2012.0096,The authors report having received financial support from pharmaceutical companies (including manufacturers of pharmaceuticals for behavioral syndromes),2013,Journal of Child and Adolescent Psychopharmacology,"double-blind, placebo-controlled, cross-over",4 weeks,24,19 M: 5 F,"7.1-12.7 y (m: 8.8 y, SD: 1.7)",,ADHD symptoms,Conners' Teacher Rating Scale - Revised - Short Form (CTRS-R-SF),Methylphenidate decreased hyperactive and impulsive behavior at school and at home. ,ADHD symptoms,"Swanson, Nolan, and Pelham Questionnaire (SNAP-IV-Teacher); ADD-H Comprehensive Teacher Rating Scale (ACTeRS); Conner's Global Index-Teacher and Parent; ABC-Teacher; CGI-Improvement and CGI-severity); Conners' Parent Rating Scale (CPRS-R); Parent SNAP-IV; Parent ABC; Parent VAS","Methylphenidate treatment decreased hyperactive and impulsive behavior at school and home. Treatment also decreased inattentive and oppositional behavior at home, as well as, increased social skills. ","side effects ""similar to those in typically developing children with ADHD""  - well tolerated",Generally safe,n=0,13 white; 5 Hispanic; 4 African-American; 1 Asian; 1 multiple races,,unclear risk - Not randomized.,unclear risk - Unclear how sequences were allocated. ,"Unclear risk - Over half of the patients had taken methylphenidate before, so parent assessors had known effects of this drug. ",unclear risk - Clinicians and participants were blinded to dosages during trial. It is not stated if parents were blinded. The study physician and psychologist were unblinded during test-dose period. ,low risk - Outcomes reported for all participants.,low risk - All negative side effects and outcome data was reported. ,The authors have financial support from pharmaceutical companies that manufacture medication for behavioural syndromes.
Methylphenidate,Yes,"Chewable tablets (cherry, grape)","Quintana, H",PUBMED: 7559293,No conflicts of interest ,1995,Journal of Autism and Developmental Disorders,Double blind - crossover,6 weeks,10,6 M: 4 F,7-11 y (m: 8.5 y SD: 1.3),10-20 mg BID,Not specified,"CARS, ABC, CTQ hyperactivity, CAPQ",Methylphenidate treatment showed modest but statistically significant improvement in hyperactivity.,,AIMS,,No significant side effects,Generally safe,n=0,Not reported,,Unclear risk - Not described,"Unclear risk - Method of concealment not described, but reported as ""randomly assigned""","Low risk - Clinicians, children and parents were blinded","Low risk - Clinicians, children, and parents were blinded",Low risk,High risk - CARS results not reported. ,
Mirtazapine,No,Yes,"McDougle, Christopher J. ",,,Mar-22,Neuropsychopharmacology,RCT,10 week,30,,5-17,7.5-45 mg/d,Anxiety,PARS; CGI-I,Significant within group decrease in anxiety on PARS. No improvement on CGI. ,,,,,,,,,,,,,,,
"Oxytocin, multiple dose",,,"Bernaerts, Sylvie",10.1186/s13229-020-0313-1,No conflicts of interest. ,"January 15, 2020",BioMed Central,"RPCT - Pilot, parallel design ",4 weeks of treatment; 4 week follow up and 1 yr follow up (60 weeks total),40,100% M,Mean: 24.5 years ,24 IU qD ,Social behaviors. ,SRS-A (self and informant),No treatment specific effects on core social behaviors as measured by SRS-A,Reactivity and avoidance. ,"RBS-R, SAAM, IPPA, WHO-QOL","Avoidance was lower in the oxytocin group for T1, T2, and T3. RBS-R scores were lower at T1, T2, and T3. ",Increased visor for the oxt treatment group. Significant decrease in tension and fatigue at T1 for both groups. ,"Minimal, non treatment specific side effects. ",n=1 oxytocin; n=8 for one year follow up ,not reported,"This study assesses the long-term effects of intranasal oxytocin treatment. ""Long-term beneficial effects on repetitive behaviors and feelings of avoidance are promising and suggestive of a therapeutic potential of oxytocin treatment for ASD.""",,,,,,,
N-Acetylcysteine (NAC),Yes,Yes,"Dean, Olivia ",,No conflicts of interest reported. ,"June 17, 2016",Australian and New Zealand Journal of Psychiatry,"RPCT, Parallel ",6 months,102,79 M: 19 F,3.1-9.9 y,500 mg/d,Social and repetitive behaviors. ,"Social Responsiveness Scale, Children's Communication Checklist, and the Repetitive Behavior Scale-Revised",No differences in the scores for NAC and placebo groups. ,Social behaviors.," Vineland Adaptive Behavior Scales, Social Communication Questionnaire, and clinician-administered Autism Diagnostic Observation Schedule",No differences in the scores for NAC and placebo groups. ,,No significant difference between the treatment and placebo groups in occurrence and severity of adverse events. ,,,"Can only access the abstract, so some data is unknown. ""This study failed to demonstrate any benefit of adjunctive N-acetylcysteine in treating autistic disorder. While this may reflect a true null result, methodological issues particularly the lower dose utilised in this study may be cofounders.""",,,,,,,
Naltrexone,No,No,"Campbell, Magda",,No conflicts of interest reported. ,1993,Journal of the American Academy of Child and Adolescent Psychiatry,Randomized Double-blind Placebo Controlled ,6 weeks,41,,2.9-7.8 y,,Aggression and self injurous behaviors (SIB).,Aggression and self injurous bx (SIB).,No improvements in SIB or core features of ASD.,Hyperactivity,CPRS,Significant improvement in hyperactivity.,Well tolerated.,,,,"""Naltrexone does not appear to have robust effects targeting ASD-Associated aggression, although it may have some impact on hyperactivity in the population"" (Fitzpatrick)",,,,,,,
Naltrexone,No,No,"Campbell, Magda",,,,Journal of the American Academy of Child and Adolescent Psychiatry ,Randomized Double-blind Placebo Controlled ,6 weeks,41,21 M: 3 F,2.9-7.8 y,1.0 mg/kg/d,Attention and hyperactivity.,Attention and discrimination learning.,"Significant decrease in hyperactivity on three measures, hyperactivity factor, restless/overactive item on the PTQ, and activity on the computer.",,,,"Minimal side effects, which included, excessive sedation, decreased appetite, and vomiting.",,,"21 white; 3 African-American (""Race was not associated with socioeconomic status in this sample.""",,,,,,,,
Olanzapine,,Yes,"Hollander, Eric",,,2006,Journal of Child and Adolescent Psychopharmacology,Randomized Double-blind Placebo Controlled   - Pilot,8 weeks,11,,6-14 y,7.5-12.5 mg/d; mean: 10 (SD: 2.4 mg/d),Irritability,CGI-I,Olanzapine was superior to placebo on CGI-I scores.,Stereotypic and repetitive behaviors,CY-BOCS and OAS-M,No differences between tx groups.,Weight gain and sedation. Well tolerated.,Generally safe. No dyskinesia or EPS.,n=3,,Very small treatment group.,,,,,,,
Omega-3 Fatty Acids,,,"Bent, Stephen",,No conflicts of interest reported. ,"August 4, 2010",Springer Link,Randomized Double-blind Placebo Controlled  ,12 weeks,27,Not reported. ,3-8 years; Mean 5.8 years,1.3 g/d,Hyperactivity,ABC Hyperactivity,No statistically significant changes in scores. Trends could show small to moderate improvements in hyperactivity with Omega fatty acids. ,,"ABC Irritability, Stereotypy, Lethargy, Inappropriate speech; PPVT; EVT; SRS; BASC; ",No statistically significant changes in scores. ,"Well tolerated. AEs included rash, upper respiratory infection, and GI issues. ",No treatment related serious AEs. ,n=8,Not reported. ,,,,,,,,
"N-Acetylcysteine (NAC), oral",Yes,Yes,"Hardan, Antonio",10.1016/j.biopsych.2012.01.014.,"Bristol-Myers Squibb Co., Forest Pharmaceuticals, Shire Development, Inc. and Bioadvantex, Inc. ","June 1, 2012",Biological Psychiatry ,"RPCT, Pilot",12 weeks,33,31 M: 2 F,"3-10 y, Mean: 7 y","max: 2700mg/d; 900mg/d for the first 4 weeks, 900mg BID  for the next 4 weeks; 900mg 3x/day for the remainder.  ",Irritability,Aberrant Behavior Checklist-Irritability subscale (ABC-I) and DOTES,NAC treatment resulted in significant improvements in irritability scores. ,Social and repetitive/stereotypic behaviors. ,"ABC-Stereotypy subscale, Repetitive Behavior Scale - Revised (RBS-R), Social Responsiveness Scale (SRS), and CGI-I ",NAC treatment resulted in improvement of stereotypic/repetitive behvaior on the ABC and significant improvement on the RBS-Stereotypies. No significant difference in the SRS. ,Well tolerated with limited side effects. Most AEs were gastrointenstinal. ,Minimal AEs. One participant experienced worsening of agitation and irritability. ,n=4 ,"""There were no differences between the placebo group and active group on any of the demographic and clinical baseline measures.""",,,,,,,,
Oxytocin,n/a,n/a,"Sikich, Linmarie",10.1056/NEJMoa2103583,No conflcits of interest,October 2021,The New England Journal of Medicine,RCT,24 weeks,277,142 M: 35 F,3-17 y (mean: 10.4 y SD: 4.0),48 IU-80 IU daily; mean maximal daily dose: 69 SD: 16.9 IU,Social functioning,ABC modified Social Withdrawal subscale (ABC-mSW),No significant difference between treatment grooups.,Social functioning,SRS-2 Social Motivation subscale (SRS-2-SM); Sociability Factor; and SB5 Abbreviated IQ,No significant difference between treatment groups.,"Higher incidences of increased appetite, increased energy, restlessness, increased thirst, and inattention in the oxytocin group",1 serious AE related to oxytocin (sedation while driving),"n=27 (14 OXT, 13 placebo)",204 white; 23 black; 23 Asian; 23 multiracial; 28 Hispanic,Flexible dose strategy used could be a limitation,low risk - Centralized randomization table,"Low risk - Drug container system, volume, labeling, and other features were matched.",Low risk - All outcome assessors were blinded.,Low risk - Clinicians and participants were blinded.,Low risk - All outcome data provided.,Low risk - All outcomes reported. Negative and insignificant outcomes reported.,
Oxytocin ,n/a,n/a,"Yamasue, Hidenori",10.1038/s41380-018-0097-2,,2020,Molecular Psychiatry,Randomized Double-blind Placebo Controlled  ,6 weeks,106,,18-48 y,48 IU/d,,ADOS; oxytocin plasma levels,"Both placebo and oxytocin treatment groups had reduced scores, no treatment difference. Plasma oxytocin elevated over course of trial in oxt treatment group compared with placebo group.",,"ADOS repetitive behavior, duration of gaze fixation",Oxt treatment reduced ADOS repetitive behavior scores and duration of gaze fixation in social regions. ,Well tolerated. One pt had temporary gynecomastia during Oxt treatment. ,,,,,,,,,,,
Oxytocin + Probiotic,,,"Kong, Xue-Jun",10.3390/nu13051552,,May 2021,BMC,Randomized Double-blind Placebo Controlled  - Pilot,,35,26 M: 9 F,3-20 y; Mean:10.30 y,Oxytocin (titrated to max dose of 32 IU/d) + PS128 probiotic ( 6x10^10 CFUs) or + placebo,Social interest & interaction; core ASD symptoms,caregiver-rated Social Responsiveness Scale (SRS) & caregiver-rated Aberrant Behavior Checklist (ABC),"The probiotic + OXT group had improvements on ABC and SRS. Most improvement was on the ABC total and stereotyped behavior scores, and the SRS cognition subscale. ","GI symptoms, global functioning, and blood samples",Blood sample collection & circulating biomarker analysis; GI severity index (GSI); Clinical Global Impression (CGI),No change in GI severity. The combination treatment group showed significant improvement of CGI. ,,,n=4,28 Asian; 1 Hispanic; 6 White,,Low risk - computer generated,Low risk - Drug containers and capsules were identical in appearance and prepared by pharmacy. ,Low risk - Assessors were blinded to treatment allocation,Low risk - Participants blinded to treatment allocation,,,
Paliperidone,No,No,"Stigler, Kimberly A.",,,"May 3, 2012",Psychopharmacology,,,30,,,,,,,,,,,,,,,,,,,,,
Pentoxifylline + Risperidone,,,"Akhondzadeh, Shahin",,,2009,Progress in Neuro-Psychopharmacology and Biological Psychiatry,Randomized Double-blind Placebo Controlled ,10 weeks,40,,4-12 y,"Risperidone- 3 mg/d + pentoxifylline- 600 mg/d, or + placebo",Core symptoms of ASD,ABC-C,"Pentoxifylline tx group had greater reduction in subscales for irritability, lethargy/social withdrawal, stereotypic bx, hyperactivity/noncompliance, inappropriate speech",,none,n/a,,,,,https://www.sciencedirect.com/science/article/abs/pii/S0278584609003091,,,,,,,
Piracetam + Risperidone,yes both,yes (risperidone),"Akhondzadeh, Shahin",,None reported. ,"October 11, 2007",Child Psychiatry and Human Development,Randomized Double-blind Placebo Controlled  ,10 weeks ,40,30 M: 10 F,3-11 y; Mean: 6.8 y,Risperidone: 2 mg/d for children 10-40 kg; 3 mg/d for children 40 kgo; Piracetam: up to 800 mg/d,Core symptoms of ASD,ABC-C Rating Scale (total score) ,Scores improved with piracetam ,,None,N/A,"There were no differences in side effects or the frequency between treatment groups. The most common side effects were daytime and morning drowsniess, and increased appetite. ",No serious or severe side effects. ,None,Not reported.,"Risperidone adjuvant piracetam proved to show markedly greater improvements in ASD symptoms than risperidone by itself. ""The results suggest that a combination of atypical antipsychotic medications and a glutamate agent such as piracetam, might have increase synergistic effects..."" when treating disruptive symptoms in ASD. ",,,,,,,
Prebiotic + exclusion diet,n/a,n/a,"Grimaldi, R.",https://doi.org/10.1186/s40168-018-0523-3,Clasado Research Services Ltd (provided prebiotic and funding),2018,Microbiome,RCT,6 weeks,41,31 M: 10 F,4-11 y; mean: 7.7 y,"prebiotic B-GOS mixture (Bimuno, 80% GOS content): 1.8 g, and exclusion dieet (gluten and casein free)",Social behaviors and anxiety,ATEC (anti-sociability); AQ (social skills); EQ-Sq; SCAS-P,"Overall severity of behavioral traits were not significantly affected. However, reduced anti-social behavior in concurrent with an improvement in social skill scores were seen in children on the combination of exclusion diet and prebiotics. ","GI Symptoms, urine spectra profiles, fecal samples, sleep","abdominal pain, bowel movement, bloating, flatulence, and stool form; urine samples; stool samples; sleep diary",B-GOS led to significant alterations in urine spectra profiles and metabolic shifts in fecal samples. No significant change in GI symptoms or sleep patterns. ,Well tolerated - minor severity diarrhea,Generally safe - no serious AEs,n=4,Not reported,"Four arm trial - exclusion diet + B-GOS, exclusion diet + placebo, unrestricted diet + B-GOS, unrestricted diet + placebo",Low risk,Low risk,Low risk,Low risk,High risk,Low risk,
Probiotics,,,"Arnold, Eugene ",,,"November 9, 2019",Journal of Child and Adolescent Psychopharmacology,RPCT - Pilot ,8 weeks ,13,,3-12 years,,GI symptoms.,PedsQL GI module,,,"Gut microbiota analysis, PRAS-ASD, and parent-selected target symptoms",,,,,,,,,,,,,
Probiotics (visbiome/vivomixx),,,"Arnold, Eugene",,,2019,Journal of Child and Adolescent Psychopharmacology,RPCT- Pilot,19 weeks,13,6 M: 4 F,3-12 y; Mean: 8.8 y,,Gastrointestinal symptoms.,Pediatric Quality of Life Inventory GI Module,,,"gut microbiota analysis, the parent-rated anxiety scale for ASD, and parent-selected target symptoms",,"Decreased appetite, enuresis, encopresis",,n=3,5 Black; 3 white; 2 other/multiracial,,,,,,,,
Probiotics (visbiome/vivomixx),,,"Santocchi, Elisa",https://doi.org/10.3389/fpsyt.2020.550593,None,September 2020,Frontiers in Psychiatry,RCT,6 months,85,84% M,18-72 mo; mean: 4.2 y,"2 packets/day in first month, then 1 packet/day for the remainder",Core symptoms and GI symptoms,ADOS-CSS,No differences in ADOS-CSS.,"Adaptive functioning, social behaviors, severity of GI symptoms, restricted and repetitive behaviors","VABS-II; Total GSI; SCQ; RBS-R; CBCL 1, 5-5; PSI; Plasma levels of leptin, TNF-a, IL-6, PAI-1, and fecal calprotectin levels","Greater improvement in GI symptoms, adaptive functioning, and sensory profiles with probiotic supplementation. ",,,,,,Low risk - Computer generated randomization,Low risk - Placebo and probiotic packaging and organoleptic characteristics were identical. Administration instructions were the same.,Low risk - All outcome assessors were blinded.,"Low risk - Clinicians, patients, and families all blinded.",Low risk - All assessment scores reported and all adverse effects reported in statistics table.,"Low risk - All outcomes reported, included significant and insignificant.",
Probiotics,,,Parracho,,,2010,,RCT - crossover,3 weeks,62,,4-16 y,L. plantarum WCFSI 45 billion CFU/capsule,Behavioral symptoms,"DBC-P, TBPS",,GI Symptoms,,,,,,,,Low risk,,,,,,
Probiotics (Lactobacillus plantarum PS128),No,No,"Liu, Yen-Wenn",10.3390/nu11040820,"Bened Biomedical Co., Ltd.",April 2019,Nutrients,RCT,4 weeks,80,All male,7-15 y (mean: 10.01 SD: 2.32),3 x 10^10 CFU/capsule of PS128,Core symptoms,"ABC-Taiwan version, SRS, CBCL","Subjects in the PS128 group showed nominal improvements in ABC-T-body and object use, SRS-total score, CBCL-anxiety and CBCL-rule breaking behavior. No significant between-group differences in most ABC-T subscales or CBCL subscales.",Core symptoms,SNAP-IV Chinese version; CGI-I,"PS128 group showed nominal improvements in SNAP-IV-hyperactivity/impulsivity, oppoition/defiance, and SNAP-IV-total score (greater improvement in younger subjects, 7-12 yrs). No between-group difference in CGI-I or SNAP-IV inattention.",No AEs reported,Generally safe,n=9,,,"Low risk - Randomized using treatment codes, performed by a research assistant who had no contact with participants","Low risk - PS128 and placebo capsules were identical in taste, appearance, and storage.",Low risk - All outcome assessors were blinded.,Low risk - Clinicians and participants were blinded,Low risk - All baseline and endpoint outcome data reported.,"Low risk - All outcome data reported, including insignificant findings.","Bened Biomedical Co provided PS128. Funded by Bened Biomedical Co., Ltd., one author/investigator owns stock in Bened Biomedical Co., Ltd. "
"Melatonin, Prolonged Release ",,,"Schroder, Carmen M.",10.1089/cap.2018.0020,,"May 11, 2019",Journal of Autism & Developmental Disorders,Randomized Double-blind Placebo Controlled  ,13 weeks,125,92 M: 33 F,2-17.5 y; Mean: 8.7 y (SD: 4.15),2-5 mg,Sleep habits and quality of life.,Strengths and Difficulties Questionaire; Caregiver's quality of life,"Prolonged release melatonin tx resulted in significant improvents in externalizing bx, Caregivers quality of life improved and correlated with the change in total SDQ.",,,,,,n=24 (7 PedPRM),112 white; 9 black or african american; 6 other; 2 Asian,"""PedPRM alleviates insomnia related difficulties, particularly externalizing behavior in the children, subsequently improving caregivers' quality of life."" ",,,,,,,
"Melatonin, Prolonged-release ",,,"Gringras, Paul",,"Neurim Pharmaceuticals, Akili, Alcobra, KemPharm, Pfizer, Purdue, Roche, Sage, Shire, Sunovion, Supernus Pharmaceuticals, Syneurx, Takeda, Teva, Touchpoint, Tris, Validus, and WebMD",November 2017,Journal of the American Academy of Child and Adolescent Psychiatry ,Randomized Double-blind Placebo Controlled  ,13 weeks,125,92 M: 33 F,2-17 y; Mean: 8.7 (SD: 4.15 y),2-5 mg,Sleep habits.,SND-reported total sleep time,Melatonin treated participants slept an average of 57.5 minutes longer than placebo. ,Sleep latency. ,"Sleep latency, duration of wake after sleep onset, mean number of awakenings, and mean longest sleep episode ","Sleep latency decreased by 39.6 minutes with PedPRM, without earlier wake up time. ",Few and mild AEs. Headaches and daytime somnolence increased in melatonin tx group. ,"Severe AEs reported by 13 pts in PedPRM group, these included agitation, fatigue and mood swings. ",,112 white; 9 black; 2 Asian; 6 other,,,,,,,,
Propranolol,Yes,No,"Williams, Daniel T. ",,Not reported,1982,Journal of the American Academy of Child and Adolescent Psychiatry,Retrospective study,2.5 years,30,26 M: 4 F,"7-35 y (11 children, 15 adolescents, 4 adults)",50-960 mg/d; mean: 160 mg/d,Rage outbursts,Pattern of uncontrolled rage outbursts,Over 75% of patients showed marked improvement w/ usage of propranolol,Uncontrolled seizures,Uncontrolled seizures,Only 1 out of 11 patients with seizures did propranolol show improvement. ,"Somnolence, lethargy, hypotension. ",One serious AE of bradycardia. One patient experienced extreme worsening depression which was alleviated with lower dosage. ,,,,,,,,,,
Propranolol or nadolol,Yes,No,"Narayanan, Apanth",10.1007/s11682-010-9098-8,,2011,Brain Imaging and Behavior,Pilot open label imaging study,,,,,,,,,,,,,,,,,,,,,,,
rTMS,n/a,n/a,"Ameis, Stephanie",doi:10.1016/j.brs.2020.01.007.,Brainsway Ltd,2020,Brain Stimulation,RCT - sham controlled,4-weeks (20-session),40,28 M: 12 F,16-35 y ,20 Hz rTMS targeting DLPFC,Executive functioning,"BRIEF-SR, BRIEF-A, BRIEF-MCI, CANTAB SWM task",Baseline SWM total errors and BRIEF-MCI scores predicted treatment outcome. ,Potential moderators,VABS-II and gender,Baseline adaptive functioning and gender possibly moderated effects of rTMS. More severe adaptive functioning deficits at baseline showed more improvement with rTMS. Spatial working memory showed greater improvement in females than in males. ,No group differences in side effects,No severe AE,n=2 (in rTMS group after 1-2 sessions),,,Low risk - computer-generated 1:1 allocation with a random number that a research assistant concealed ,"Low risk - Allocation concealed using sealed, opaque envelopes. ","low risk - Study investigators, clinical/cognitive raters were blinded","Low risk (?) - Clinicians and participants remained blinded. rTMS technicians were aware of group assignment, but were not involved in allocation or clinical/cognitive assessment. ",No - all data reported,No - Insignificant outcomes were reported.,
Repetitive transcranial magnetic stimulation (rTMS),n/a,n/a,"Ameis, Stephanie",,No conflicts of interest. ,2017,Journal of Child and Adolescent Psychopharmacology,Randomized Double-blind Placebo Controlled  ,4 weeks,40,Not reported. ,16-35 years,20 Hz rTMS applied to dorsolateral prefontal cortex,,Cambridge Neuropsychological Test Automated Battery (CANTAB) spatial working memory task,,,,,No seizures. Side effects were transient and mild. ,Generally safe. No lasting adverse effects. Inadvertent induction of a seizure are monitered. ,,,All psychiatric medications were continued throughout trial. ,,,,,,,
